Año;Departamento;Divi_dpto;Municipio;Divi_muni;IRCA Promedio 2019;Categoría
2010;Antioquia;5;Medellín;5001;1.44;Sin riesgo
2010;Antioquia;5;Abejorral;5002;25.44;Medio
2010;Antioquia;5;Abriaquí;5004;16.52;Sin riesgo
2010;Antioquia;5;Alejandría;5021;2.94;Sin riesgo
2010;Antioquia;5;Amagá;5030;35.72;Medio
2010;Antioquia;5;Amalfi;5031;1.07;Bajo
2010;Antioquia;5;Andes;5034;20.16;Medio
2010;Antioquia;5;Angelópolis;5036;16.54;Bajo
2010;Antioquia;5;Angostura;5038;1.56;Bajo
2010;Antioquia;5;Anorí;5040;1.58;Bajo
2010;Antioquia;5;Santafé de Antioquia;5042;1.94;Bajo
2010;Antioquia;5;Anza;5044;35.53;Medio
2010;Antioquia;5;Apartadó;5045;0;Sin información
2010;Antioquia;5;Arboletes;5051;0.73;Bajo
2010;Antioquia;5;Argelia;5055;65.14;Alto
2010;Antioquia;5;Armenia;5059;14.79;Bajo
2010;Antioquia;5;Barbosa;5079;10.79;Bajo
2010;Antioquia;5;Belmira;5086;59.15;Alto
2010;Antioquia;5;Bello;5088;3.22;Bajo
2010;Antioquia;5;Betania;5091;17.49;Bajo
2010;Antioquia;5;Betulia;5093;1.86;Bajo
2010;Antioquia;5;Ciudad Bolívar;5101;6.62;Bajo
2010;Antioquia;5;Briceño;5107;18.15;Bajo
2010;Antioquia;5;Buriticá;5113;6.14;Bajo
2010;Antioquia;5;Cáceres;5120;14.36;Bajo
2010;Antioquia;5;Caicedo;5125;21.29;Medio
2010;Antioquia;5;Caldas;5129;4.21;Bajo
2010;Antioquia;5;Campamento;5134;27.63;Medio
2010;Antioquia;5;Cañasgordas;5138;64.36;Alto
2010;Antioquia;5;Caracolí;5142;15.44;Bajo
2010;Antioquia;5;Caramanta;5145;0.87;Bajo
2010;Antioquia;5;Carepa;5147;24.34;Medio
2010;Antioquia;5;El Carmen de Viboral;5148;6.32;Bajo
2010;Antioquia;5;Carolina;5150;27.26;Medio
2010;Antioquia;5;Caucasia;5154;10.24;Bajo
2010;Antioquia;5;Chigorodó;5172;16.6;Bajo
