Municipio Productor,Departamento,Recurso Natural,Nombre Del Proyecto,Año Produccion,Trimestre,Unidad Medida,Tipo Contraprestacion,Valor Contraprestacion ,Cantidad Producción
Medellin,Antioquia,ARCILLA,PRODUCTORES,2018,Trimestre 4,TONELADAS,REGALIA,614258,0
Medellin,Antioquia,ARCILLAS CERAMICAS,PRODUCTORES,2014,Trimestre 4,TONELADAS,REGALIA,2036781,14381
Medellin,Antioquia,ARCILLAS FERRUGINOSAS,PRODUCTORES,2012,Trimestre 1,TONELADAS,REGALIA,836927,16308
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2019,Trimestre 1,TONELADAS,REGALIA,5763839,33348
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2019,Trimestre 2,TONELADAS,REGALIA,5802546,32485
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2019,Trimestre 4,TONELADAS,REGALIA,6665343,37293
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2012,Trimestre 4,TONELADAS,REGALIA,493082,9608
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2013,Trimestre 4,TONELADAS,REGALIA,13286424,93464
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2014,Trimestre 4,TONELADAS,REGALIA,26500149,178841
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2015,Trimestre 4,TONELADAS,REGALIA,1534948,10496
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2016,Trimestre 4,TONELADAS,REGALIA,19108408,117208
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2017,Trimestre 4,TONELADAS,REGALIA,21317426,126880
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2018,Trimestre 4,TONELADAS,REGALIA,11618715,67958
Medellin,Antioquia,ARCILLAS MISCELANEAS,PRODUCTORES,2019,Trimestre 4,TONELADAS,REGALIA,4097548,22964
Medellin,Antioquia,ARENAS,PRODUCTORES,2018,Trimestre 1,METROS CUBICOS,REGALIA,3211420,16635
Medellin,Antioquia,ARENAS,PRODUCTORES,2018,Trimestre 2,METROS CUBICOS,REGALIA,4689112,24749
Medellin,Antioquia,ARENAS,PRODUCTORES,2020,Trimestre 2,METROS CUBICOS,REGALIA,5155682,24071
Medellin,Antioquia,ARENAS,PRODUCTORES,2018,Trimestre 3,METROS CUBICOS,REGALIA,6470642,51620
